"#""Step""",Potential Energy (kJ/mole),Kinetic Energy (kJ/mole),Total Energy (kJ/mole),Temperature (K),Density (g/mL)
26500,-313929.0288,64685.76611,-249243.2627,299.6649028,0.95800248
26600,-314565.5022,65363.86336,-249201.6388,302.8062732,0.95800248
26700,-314197.237,65311.91469,-248885.3223,302.5656145,0.95800248
26800,-314441.6089,64950.23922,-249491.3697,300.8901076,0.95800248
26900,-313843.1404,64756.00408,-249087.1364,299.9902891,0.95800248
27000,-313805.1915,64931.67399,-248873.5175,300.8041019,0.95800248
27100,-314639.3243,65383.02985,-249256.2944,302.8950644,0.95800248
27200,-314493.5145,65307.90346,-249185.611,302.5470319,0.95800248
27300,-313934.239,64904.33243,-249029.9066,300.6774387,0.95800248
27400,-313883.7246,64767.86251,-249115.8621,300.0452247,0.95800248
27500,-313819.0403,65062.63398,-248756.4063,301.4107904,0.95800248
27600,-313314.2952,64327.31633,-248986.9788,298.0043394,0.95800248
27700,-313945.7021,65093.33784,-248852.3642,301.5530299,0.95800248
27800,-314484.0476,65496.35252,-248987.6951,303.4200458,0.95800248
27900,-313988.8307,64972.07107,-249016.7596,300.9912464,0.95800248
28000,-314400.1945,64889.53908,-249510.6555,300.6089066,0.95800248
28100,-314299.3372,64893.49654,-249405.8406,300.6272401,0.95800248
28200,-314003.4292,64963.39793,-249040.0313,300.951067,0.95800248
28300,-314200.4069,64938.67983,-249261.727,300.8365573,0.95800248
28400,-314957.2668,65384.80834,-249572.4585,302.9033034,0.95800248
28500,-314245.1067,64829.55882,-249415.5479,300.3310406,0.95800248
28600,-314928.972,65227.24713,-249701.7249,302.1733814,0.95800248
28700,-314573.4184,64697.53979,-249875.8786,299.7194459,0.95800248
28800,-314675.2675,64728.9939,-249946.2736,299.865161,0.95800248
28900,-315047.8893,64836.57491,-250211.3144,300.3635435,0.95800248
29000,-314968.25,64807.61278,-250160.6372,300.2293728,0.95800248
29100,-314619.2354,64841.0383,-249778.1971,300.3842207,0.95800248
29200,-314280.2263,64749.19943,-249531.0268,299.9587657,0.95800248
29300,-315164.1372,65242.17499,-249921.9622,302.2425366,0.95800248
29400,-314679.0673,64892.80361,-249786.2637,300.62403,0.95800248
29500,-314338.4274,64450.11432,-249888.3131,298.5732165,0.95800248
29600,-314518.5463,64487.48996,-250031.0564,298.7463638,0.95800248
29700,-314906.5646,64988.51389,-249918.0507,301.0674198,0.95800248
29800,-314692.3359,64896.30333,-249796.0326,300.6402429,0.95800248
29900,-315033.9719,65163.32606,-249870.6458,301.8772591,0.95800248
30000,-314998.8567,65032.01473,-249966.842,301.2689429,0.95800248
